plateID,well,cmpdname,CONCuM,cmpdnum
plate_1,H23,"[""1"",""2"",""3"",""4""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""4""]_[""a"",""a"",""a"",""a""]"
plate_1,J23,"[""1"",""2"",""3"",""4""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""4""]_[""b"",""b"",""b"",""b""]"
plate_1,E17,"[""1"",""2"",""3"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,H21,"[""1"",""2"",""3"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,I07,"[""1"",""2"",""3"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,L19,"[""1"",""2"",""3"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,B19,"[""1"",""2"",""3"",""5""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,E22,"[""1"",""2"",""3"",""5""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,K08,"[""1"",""2"",""3"",""5""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,M12,"[""1"",""2"",""3"",""5""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,C08,"[""1"",""2"",""3"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,G02,"[""1"",""2"",""3"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,K10,"[""1"",""2"",""3"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""3"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,N03,"[""1"",""2"",""3"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""3"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,B02,"[""1"",""2"",""3""]","[""a"",""a"",""a""]","[""1"",""2"",""3""]_[""a"",""a"",""a""]"
plate_1,D18,"[""1"",""2"",""3""]","[""a"",""a"",""a""]","[""1"",""2"",""3""]_[""a"",""a"",""a""]"
plate_1,E11,"[""1"",""2"",""3""]","[""b"",""b"",""b""]","[""1"",""2"",""3""]_[""b"",""b"",""b""]"
plate_1,J21,"[""1"",""2"",""3""]","[""b"",""b"",""b""]","[""1"",""2"",""3""]_[""b"",""b"",""b""]"
plate_1,D13,"[""1"",""2"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,E20,"[""1"",""2"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,E23,"[""1"",""2"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""2"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,G07,"[""1"",""2"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""2"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,D15,"[""1"",""2"",""4"",""5""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""4"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,E21,"[""1"",""2"",""4"",""5""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""4"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,I19,"[""1"",""2"",""4"",""5""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""4"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,N15,"[""1"",""2"",""4"",""5""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""4"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,B06,"[""1"",""2"",""4"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""4"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,F18,"[""1"",""2"",""4"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""4"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,G23,"[""1"",""2"",""4"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""4"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,M10,"[""1"",""2"",""4"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""4"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,G19,"[""1"",""2"",""4""]","[""b"",""b"",""b""]","[""1"",""2"",""4""]_[""b"",""b"",""b""]"
plate_1,M22,"[""1"",""2"",""4""]","[""b"",""b"",""b""]","[""1"",""2"",""4""]_[""b"",""b"",""b""]"
plate_1,O11,"[""1"",""2"",""4""]","[""a"",""a"",""a""]","[""1"",""2"",""4""]_[""a"",""a"",""a""]"
plate_1,O20,"[""1"",""2"",""4""]","[""a"",""a"",""a""]","[""1"",""2"",""4""]_[""a"",""a"",""a""]"
plate_1,I10,"[""1"",""2"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,I15,"[""1"",""2"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,K04,"[""1"",""2"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""2"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,K19,"[""1"",""2"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""2"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,F06,"[""1"",""2"",""5""]","[""a"",""a"",""a""]","[""1"",""2"",""5""]_[""a"",""a"",""a""]"
plate_1,G13,"[""1"",""2"",""5""]","[""b"",""b"",""b""]","[""1"",""2"",""5""]_[""b"",""b"",""b""]"
plate_1,J14,"[""1"",""2"",""5""]","[""b"",""b"",""b""]","[""1"",""2"",""5""]_[""b"",""b"",""b""]"
plate_1,M13,"[""1"",""2"",""5""]","[""a"",""a"",""a""]","[""1"",""2"",""5""]_[""a"",""a"",""a""]"
plate_1,F12,"[""1"",""2"",""6""]","[""a"",""a"",""a""]","[""1"",""2"",""6""]_[""a"",""a"",""a""]"
plate_1,J07,"[""1"",""2"",""6""]","[""b"",""b"",""b""]","[""1"",""2"",""6""]_[""b"",""b"",""b""]"
plate_1,J13,"[""1"",""2"",""6""]","[""b"",""b"",""b""]","[""1"",""2"",""6""]_[""b"",""b"",""b""]"
plate_1,M06,"[""1"",""2"",""6""]","[""a"",""a"",""a""]","[""1"",""2"",""6""]_[""a"",""a"",""a""]"
plate_1,B12,"[""1"",""2""]","[""b"",""b""]","[""1"",""2""]_[""b"",""b""]"
plate_1,D02,"[""1"",""2""]","[""a"",""a""]","[""1"",""2""]_[""a"",""a""]"
plate_1,D07,"[""1"",""2""]","[""b"",""b""]","[""1"",""2""]_[""b"",""b""]"
plate_1,L05,"[""1"",""2""]","[""a"",""a""]","[""1"",""2""]_[""a"",""a""]"
plate_1,E18,"[""1"",""3"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""3"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,F16,"[""1"",""3"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""3"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,I18,"[""1"",""3"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""1"",""3"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,J22,"[""1"",""3"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""1"",""3"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,C14,"[""1"",""3"",""4"",""5""]","[""a"",""a"",""a"",""a""]","[""1"",""3"",""4"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,I13,"[""1"",""3"",""4"",""5""]","[""a"",""a"",""a"",""a""]","[""1"",""3"",""4"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,N06,"[""1"",""3"",""4"",""5""]","[""b"",""b"",""b"",""b""]","[""1"",""3"",""4"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,O09,"[""1"",""3"",""4"",""5""]","[""b"",""b"",""b"",""b""]","[""1"",""3"",""4"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,D11,"[""1"",""3"",""4"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""3"",""4"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,F07,"[""1"",""3"",""4"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""3"",""4"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,I08,"[""1"",""3"",""4"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""3"",""4"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,N14,"[""1"",""3"",""4"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""3"",""4"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,K20,"[""1"",""3"",""4""]","[""b"",""b"",""b""]","[""1"",""3"",""4""]_[""b"",""b"",""b""]"
plate_1,L14,"[""1"",""3"",""4""]","[""a"",""a"",""a""]","[""1"",""3"",""4""]_[""a"",""a"",""a""]"
plate_1,O13,"[""1"",""3"",""4""]","[""b"",""b"",""b""]","[""1"",""3"",""4""]_[""b"",""b"",""b""]"
plate_1,O23,"[""1"",""3"",""4""]","[""a"",""a"",""a""]","[""1"",""3"",""4""]_[""a"",""a"",""a""]"
plate_1,B13,"[""1"",""3"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""3"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,L18,"[""1"",""3"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""3"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,M09,"[""1"",""3"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""3"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,O19,"[""1"",""3"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""3"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,C02,"[""1"",""3"",""5""]","[""a"",""a"",""a""]","[""1"",""3"",""5""]_[""a"",""a"",""a""]"
plate_1,C15,"[""1"",""3"",""5""]","[""b"",""b"",""b""]","[""1"",""3"",""5""]_[""b"",""b"",""b""]"
plate_1,J08,"[""1"",""3"",""5""]","[""b"",""b"",""b""]","[""1"",""3"",""5""]_[""b"",""b"",""b""]"
plate_1,M04,"[""1"",""3"",""5""]","[""a"",""a"",""a""]","[""1"",""3"",""5""]_[""a"",""a"",""a""]"
plate_1,B07,"[""1"",""3"",""6""]","[""b"",""b"",""b""]","[""1"",""3"",""6""]_[""b"",""b"",""b""]"
plate_1,B23,"[""1"",""3"",""6""]","[""a"",""a"",""a""]","[""1"",""3"",""6""]_[""a"",""a"",""a""]"
plate_1,G14,"[""1"",""3"",""6""]","[""b"",""b"",""b""]","[""1"",""3"",""6""]_[""b"",""b"",""b""]"
plate_1,K22,"[""1"",""3"",""6""]","[""a"",""a"",""a""]","[""1"",""3"",""6""]_[""a"",""a"",""a""]"
plate_1,B03,"[""1"",""3""]","[""a"",""a""]","[""1"",""3""]_[""a"",""a""]"
plate_1,C19,"[""1"",""3""]","[""b"",""b""]","[""1"",""3""]_[""b"",""b""]"
plate_1,I02,"[""1"",""3""]","[""b"",""b""]","[""1"",""3""]_[""b"",""b""]"
plate_1,K09,"[""1"",""3""]","[""a"",""a""]","[""1"",""3""]_[""a"",""a""]"
plate_1,B18,"[""1"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,E07,"[""1"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,E12,"[""1"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""1"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,J02,"[""1"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""1"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,B04,"[""1"",""4"",""5""]","[""a"",""a"",""a""]","[""1"",""4"",""5""]_[""a"",""a"",""a""]"
plate_1,D16,"[""1"",""4"",""5""]","[""b"",""b"",""b""]","[""1"",""4"",""5""]_[""b"",""b"",""b""]"
plate_1,G03,"[""1"",""4"",""5""]","[""b"",""b"",""b""]","[""1"",""4"",""5""]_[""b"",""b"",""b""]"
plate_1,K21,"[""1"",""4"",""5""]","[""a"",""a"",""a""]","[""1"",""4"",""5""]_[""a"",""a"",""a""]"
plate_1,B08,"[""1"",""4"",""6""]","[""b"",""b"",""b""]","[""1"",""4"",""6""]_[""b"",""b"",""b""]"
plate_1,D09,"[""1"",""4"",""6""]","[""a"",""a"",""a""]","[""1"",""4"",""6""]_[""a"",""a"",""a""]"
plate_1,I20,"[""1"",""4"",""6""]","[""b"",""b"",""b""]","[""1"",""4"",""6""]_[""b"",""b"",""b""]"
plate_1,L11,"[""1"",""4"",""6""]","[""a"",""a"",""a""]","[""1"",""4"",""6""]_[""a"",""a"",""a""]"
plate_1,D05,"[""1"",""4""]","[""a"",""a""]","[""1"",""4""]_[""a"",""a""]"
plate_1,H10,"[""1"",""4""]","[""a"",""a""]","[""1"",""4""]_[""a"",""a""]"
plate_1,L03,"[""1"",""4""]","[""b"",""b""]","[""1"",""4""]_[""b"",""b""]"
plate_1,M17,"[""1"",""4""]","[""b"",""b""]","[""1"",""4""]_[""b"",""b""]"
plate_1,E05,"[""1"",""5"",""6""]","[""a"",""a"",""a""]","[""1"",""5"",""6""]_[""a"",""a"",""a""]"
plate_1,K06,"[""1"",""5"",""6""]","[""b"",""b"",""b""]","[""1"",""5"",""6""]_[""b"",""b"",""b""]"
plate_1,K12,"[""1"",""5"",""6""]","[""b"",""b"",""b""]","[""1"",""5"",""6""]_[""b"",""b"",""b""]"
plate_1,O22,"[""1"",""5"",""6""]","[""a"",""a"",""a""]","[""1"",""5"",""6""]_[""a"",""a"",""a""]"
plate_1,C18,"[""1"",""5""]","[""b"",""b""]","[""1"",""5""]_[""b"",""b""]"
plate_1,C22,"[""1"",""5""]","[""a"",""a""]","[""1"",""5""]_[""a"",""a""]"
plate_1,J18,"[""1"",""5""]","[""a"",""a""]","[""1"",""5""]_[""a"",""a""]"
plate_1,N10,"[""1"",""5""]","[""b"",""b""]","[""1"",""5""]_[""b"",""b""]"
plate_1,E03,"[""1"",""6""]","[""a"",""a""]","[""1"",""6""]_[""a"",""a""]"
plate_1,G15,"[""1"",""6""]","[""b"",""b""]","[""1"",""6""]_[""b"",""b""]"
plate_1,H20,"[""1"",""6""]","[""a"",""a""]","[""1"",""6""]_[""a"",""a""]"
plate_1,I23,"[""1"",""6""]","[""b"",""b""]","[""1"",""6""]_[""b"",""b""]"
plate_1,D04,"[""2"",""3"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""2"",""3"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,E15,"[""2"",""3"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""2"",""3"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,H16,"[""2"",""3"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b"",""b""]","[""2"",""3"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b"",""b""]"
plate_1,M07,"[""2"",""3"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a"",""a""]","[""2"",""3"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a"",""a""]"
plate_1,F08,"[""2"",""3"",""4"",""5""]","[""a"",""a"",""a"",""a""]","[""2"",""3"",""4"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,J06,"[""2"",""3"",""4"",""5""]","[""b"",""b"",""b"",""b""]","[""2"",""3"",""4"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,K23,"[""2"",""3"",""4"",""5""]","[""b"",""b"",""b"",""b""]","[""2"",""3"",""4"",""5""]_[""b"",""b"",""b"",""b""]"
plate_1,O07,"[""2"",""3"",""4"",""5""]","[""a"",""a"",""a"",""a""]","[""2"",""3"",""4"",""5""]_[""a"",""a"",""a"",""a""]"
plate_1,C04,"[""2"",""3"",""4"",""6""]","[""a"",""a"",""a"",""a""]","[""2"",""3"",""4"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,C06,"[""2"",""3"",""4"",""6""]","[""b"",""b"",""b"",""b""]","[""2"",""3"",""4"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,D17,"[""2"",""3"",""4"",""6""]","[""a"",""a"",""a"",""a""]","[""2"",""3"",""4"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,K05,"[""2"",""3"",""4"",""6""]","[""b"",""b"",""b"",""b""]","[""2"",""3"",""4"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,G18,"[""2"",""3"",""4""]","[""a"",""a"",""a""]","[""2"",""3"",""4""]_[""a"",""a"",""a""]"
plate_1,M19,"[""2"",""3"",""4""]","[""a"",""a"",""a""]","[""2"",""3"",""4""]_[""a"",""a"",""a""]"
plate_1,O14,"[""2"",""3"",""4""]","[""b"",""b"",""b""]","[""2"",""3"",""4""]_[""b"",""b"",""b""]"
plate_1,O16,"[""2"",""3"",""4""]","[""b"",""b"",""b""]","[""2"",""3"",""4""]_[""b"",""b"",""b""]"
plate_1,B20,"[""2"",""3"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""2"",""3"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,F10,"[""2"",""3"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""2"",""3"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,G11,"[""2"",""3"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""2"",""3"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,J09,"[""2"",""3"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""2"",""3"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,C17,"[""2"",""3"",""5""]","[""a"",""a"",""a""]","[""2"",""3"",""5""]_[""a"",""a"",""a""]"
plate_1,I09,"[""2"",""3"",""5""]","[""a"",""a"",""a""]","[""2"",""3"",""5""]_[""a"",""a"",""a""]"
plate_1,K18,"[""2"",""3"",""5""]","[""b"",""b"",""b""]","[""2"",""3"",""5""]_[""b"",""b"",""b""]"
plate_1,L12,"[""2"",""3"",""5""]","[""b"",""b"",""b""]","[""2"",""3"",""5""]_[""b"",""b"",""b""]"
plate_1,H11,"[""2"",""3"",""6""]","[""b"",""b"",""b""]","[""2"",""3"",""6""]_[""b"",""b"",""b""]"
plate_1,I16,"[""2"",""3"",""6""]","[""a"",""a"",""a""]","[""2"",""3"",""6""]_[""a"",""a"",""a""]"
plate_1,J12,"[""2"",""3"",""6""]","[""a"",""a"",""a""]","[""2"",""3"",""6""]_[""a"",""a"",""a""]"
plate_1,K11,"[""2"",""3"",""6""]","[""b"",""b"",""b""]","[""2"",""3"",""6""]_[""b"",""b"",""b""]"
plate_1,B14,"[""2"",""3""]","[""a"",""a""]","[""2"",""3""]_[""a"",""a""]"
plate_1,C12,"[""2"",""3""]","[""a"",""a""]","[""2"",""3""]_[""a"",""a""]"
plate_1,L04,"[""2"",""3""]","[""b"",""b""]","[""2"",""3""]_[""b"",""b""]"
plate_1,L08,"[""2"",""3""]","[""b"",""b""]","[""2"",""3""]_[""b"",""b""]"
plate_1,C11,"[""2"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""2"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,C20,"[""2"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""2"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,F21,"[""2"",""4"",""5"",""6""]","[""b"",""b"",""b"",""b""]","[""2"",""4"",""5"",""6""]_[""b"",""b"",""b"",""b""]"
plate_1,O02,"[""2"",""4"",""5"",""6""]","[""a"",""a"",""a"",""a""]","[""2"",""4"",""5"",""6""]_[""a"",""a"",""a"",""a""]"
plate_1,C10,"[""2"",""4"",""5""]","[""a"",""a"",""a""]","[""2"",""4"",""5""]_[""a"",""a"",""a""]"
plate_1,J20,"[""2"",""4"",""5""]","[""b"",""b"",""b""]","[""2"",""4"",""5""]_[""b"",""b"",""b""]"
plate_1,M14,"[""2"",""4"",""5""]","[""a"",""a"",""a""]","[""2"",""4"",""5""]_[""a"",""a"",""a""]"
plate_1,N04,"[""2"",""4"",""5""]","[""b"",""b"",""b""]","[""2"",""4"",""5""]_[""b"",""b"",""b""]"
plate_1,B17,"[""2"",""4"",""6""]","[""b"",""b"",""b""]","[""2"",""4"",""6""]_[""b"",""b"",""b""]"
plate_1,B21,"[""2"",""4"",""6""]","[""a"",""a"",""a""]","[""2"",""4"",""6""]_[""a"",""a"",""a""]"
plate_1,K02,"[""2"",""4"",""6""]","[""a"",""a"",""a""]","[""2"",""4"",""6""]_[""a"",""a"",""a""]"
plate_1,N21,"[""2"",""4"",""6""]","[""b"",""b"",""b""]","[""2"",""4"",""6""]_[""b"",""b"",""b""]"
plate_1,E04,"[""2"",""4""]","[""a"",""a""]","[""2"",""4""]_[""a"",""a""]"
plate_1,G08,"[""2"",""4""]","[""b"",""b""]","[""2"",""4""]_[""b"",""b""]"
plate_1,I05,"[""2"",""4""]","[""b"",""b""]","[""2"",""4""]_[""b"",""b""]"
plate_1,N12,"[""2"",""4""]","[""a"",""a""]","[""2"",""4""]_[""a"",""a""]"
plate_1,B05,"[""2"",""5"",""6""]","[""b"",""b"",""b""]","[""2"",""5"",""6""]_[""b"",""b"",""b""]"
plate_1,B16,"[""2"",""5"",""6""]","[""a"",""a"",""a""]","[""2"",""5"",""6""]_[""a"",""a"",""a""]"
plate_1,C21,"[""2"",""5"",""6""]","[""b"",""b"",""b""]","[""2"",""5"",""6""]_[""b"",""b"",""b""]"
plate_1,M20,"[""2"",""5"",""6""]","[""a"",""a"",""a""]","[""2"",""5"",""6""]_[""a"",""a"",""a""]"
plate_1,D21,"[""2"",""5""]","[""a"",""a""]","[""2"",""5""]_[""a"",""a""]"
plate_1,H09,"[""2"",""5""]","[""a"",""a""]","[""2"",""5""]_[""a"",""a""]"
plate_1,N11,"[""2"",""5""]","[""b"",""b""]","[""2"",""5""]_[""b"",""b""]"
